iter	Passed	Remaining
736	66364	10175
737	66464	10086
738	66561	9997
739	66652	9907
740	66738	9817
741	66828	9727
742	66907	9635
743	66999	9545
744	67087	9455
745	67162	9363
746	67244	9272
747	67335	9182
748	67425	9092
749	67514	9001
750	67604	8911
751	67695	8822
752	67786	8732
753	67875	8641
754	67963	8551
755	68046	8460
756	68134	8370
757	68208	8278
758	68299	8188
759	68385	8098
760	68471	8007
761	68570	7918
762	68665	7829
763	68763	7740
764	68870	7652
765	68959	7562
766	69049	7472
767	69135	7381
768	69217	7290
769	69304	7200
770	69387	7109
771	69470	7019
772	69563	6929
773	69655	6839
774	69746	6749
775	69843	6660
776	69949	6571
777	70038	6481
778	70129	6391
779	70223	6302
780	70318	6212
781	70403	6122
782	70490	6031
783	70579	5941
784	70674	5852
785	70761	5761
786	70853	5671
787	70942	5581
788	71043	5492
789	71144	5403
790	71232	5313
791	71319	5222
792	71411	5132
793	71498	5042
794	71588	4952
795	71683	4862
796	71771	4772
797	71859	4682
798	71942	4592
799	72037	4502
800	72131	4412
801	72223	4322
802	72310	4232
803	72400	4142
804	72499	4052
805	72588	3962
806	72665	3871
807	72754	3781
808	72843	3691
809	72935	3601
810	73028	3511
811	73120	3421
812	73210	3331
813	73298	3241
814	73409	3152
815	73495	3062
816	73586	2972
817	73668	2881
818	73760	2791
819	73841	2701
820	73938	2611
821	74032	2521
822	74112	2431
823	74203	2341
824	74295	2251
825	74387	2161
826	74477	2071
827	74567	1981
828	74654	1891
829	74746	1801
830	74839	1711
831	74933	1621
832	75016	1530
833	75107	1440
834	75194	1350
835	75273	1260
836	75357	1170
837	75447	1080
838	75536	990
839	75626	900
840	75741	810
841	75830	720
842	75913	630
843	75997	540
844	76090	450
845	76169	360
846	76255	270
847	76343	180
848	76435	90
849	76529	0
